tcp.flags,tcp.time_delta,tcp.len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.topic,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,Line_origin,Line_prediction
"0x0018","0.010886016","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","323134",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.006263936","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e373730383030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.020819959","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32322e323732383739",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","2.952822682","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","31352e323738363131",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.011591372","18",,,,,,,,,,,,,"0","0x30",,"16","iot/intensity","35",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.008439900","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e363231383030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.004714735","19",,,,,,,,,,,,,"0","0x30",,"17","iot/intensity","3734",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","1.002296894","42",,,,,,,,,,,,,"0","0x30",,"40","iot/intensity-response","4d657373616765205265636569766564",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.000878531","29",,,,,"1","0","0","0","0","0","0","0x02",,"0x10","60","27",,,,"1","4","MQTT",,,,,"4",,,,,UNKNOWN,legitimate
"0x0018","0.011898191","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32312e323433373034",,"3",,,"0","0",,,,,,,,legitimate,malformed
